hgGenes	mmGenes
SIMC1	Simc1
SIN3A	Sin3a
SIN3B	Sin3b
SIPA1	Sipa1
SIPA1L1	Sipa1l1
SIPA1L2	Sipa1l2
SIPA1L3	Sipa1l3
SIRPA	Sirpa
SIRPB1	Sirpb1a
SIRPB1	Sirpb1b
SIRPB1	Sirpb1c
SIRT1	Sirt1
SIRT2	Sirt2
SIRT3	Sirt3
SIRT4	Sirt4
SIRT5	Sirt5
SIRT6	Sirt6
SIRT7	Sirt7
SIT1	Sit1
SIVA1	Siva1
SIX1	Six1
SIX2	Six2
SIX3	Six3
SIX4	Six4
SIX5	Six5
SIX6	Six6
SKA1	Ska1
SKA2	Ska2
SKA3	Ska3
SKAP1	Skap1
SKAP2	Skap2
SKI	Ski
SKIDA1	Skida1
SKIL	Skil
SKIV2L	Skiv2l
SKOR1	Skor1
SKOR2	Skor2
SKP1	Skp1a
SKP2	Skp2
SLA	Sla
SLA2	Sla2
SLAIN1	Slain1
SLAIN2	Slain2
SLAMF1	Slamf1
SLAMF6	Slamf6
SLAMF7	Slamf7
SLAMF8	Slamf8
SLAMF9	Slamf9
SLBP	Slbp
SLC10A1	Slc10a1
SLC10A2	Slc10a2
SLC10A3	Slc10a3
SLC10A4	Slc10a4
SLC10A5	Slc10a5
SLC10A6	Slc10a6
SLC10A7	Slc10a7
SLC11A1	Slc11a1
SLC11A2	Slc11a2
SLC12A1	Slc12a1
SLC12A2	Slc12a2
SLC12A3	Slc12a3
SLC12A4	Slc12a4
SLC12A5	Slc12a5
SLC12A6	Slc12a6
SLC12A7	Slc12a7
SLC12A8	Slc12a8
SLC12A9	Slc12a9
SLC13A1	Slc13a1
SLC13A2	Slc13a2
SLC13A3	Slc13a3
SLC13A4	Slc13a4
SLC13A5	Slc13a5
SLC14A1	Slc14a1
SLC14A2	Slc14a2
SLC15A1	Slc15a1
SLC15A2	Slc15a2
SLC15A3	Slc15a3
SLC15A4	Slc15a4
SLC15A5	Slc15a5
SLC16A1	Slc16a1
SLC16A10	Slc16a10
SLC16A11	Slc16a11
SLC16A12	Slc16a12
SLC16A13	Slc16a13
SLC16A14	Slc16a14
SLC16A2	Slc16a2
SLC16A3	Slc16a3
SLC16A4	Slc16a4
SLC16A5	Slc16a5
SLC16A6	Slc16a6
SLC16A7	Slc16a7
SLC16A8	Slc16a8
SLC16A9	Slc16a9
SLC17A1	Slc17a1
SLC17A2	Slc17a2
SLC17A3	Slc17a3
SLC17A4	Slc17a4
SLC17A5	Slc17a5
SLC17A6	Slc17a6
SLC17A7	Slc17a7
SLC17A8	Slc17a8
SLC17A9	Slc17a9
SLC18A1	Slc18a1
SLC18A2	Slc18a2
SLC18A3	Slc18a3
SLC18B1	Slc18b1
SLC19A1	Slc19a1
SLC19A2	Slc19a2
SLC19A3	Slc19a3
SLC1A1	Slc1a1
SLC1A2	Slc1a2
SLC1A3	Slc1a3
SLC1A4	Slc1a4
SLC1A5	Slc1a5
SLC1A6	Slc1a6
SLC1A7	Slc1a7
SLC20A1	Slc20a1
SLC20A2	Slc20a2
SLC22A1	Slc22a1
SLC22A12	Slc22a12
SLC22A13	Slc22a13
SLC22A14	Slc22a14
SLC22A15	Slc22a15
SLC22A16	Slc22a16
SLC22A17	Slc22a17
SLC22A18	Slc22a18
SLC22A2	Slc22a2
SLC22A23	Slc22a23
SLC22A25	Slc22a19
SLC22A25	Slc22a26
SLC22A25	Slc22a27
SLC22A25	Slc22a28
SLC22A25	Slc22a29
SLC22A25	Slc22a30
SLC22A3	Slc22a3
SLC22A4	Slc22a4
SLC22A5	Slc22a5
SLC22A6	Slc22a6
SLC22A7	Slc22a7
SLC22A8	Slc22a8
SLC22A9	Slc22a19
SLC22A9	Slc22a26
SLC22A9	Slc22a27
SLC22A9	Slc22a28
SLC22A9	Slc22a29
SLC22A9	Slc22a30
SLC23A1	Slc23a1
SLC23A2	Slc23a2
SLC23A3	Slc23a3
SLC24A1	Slc24a1
SLC24A2	Slc24a2
SLC24A3	Slc24a3
SLC24A4	Slc24a4
SLC24A5	Slc24a5
SLC25A1	Slc25a1
SLC25A10	Slc25a10
SLC25A11	Slc25a11
SLC25A12	Slc25a12
SLC25A13	Slc25a13
SLC25A14	Slc25a14
SLC25A15	Slc25a15
SLC25A16	Slc25a16
SLC25A17	Slc25a17
SLC25A18	Slc25a18
SLC25A19	Slc25a19
SLC25A2	Slc25a2
SLC25A20	Slc25a20
SLC25A21	Slc25a21
SLC25A22	Slc25a22
SLC25A23	Slc25a23
SLC25A24	Slc25a24
SLC25A25	Slc25a25
SLC25A26	Slc25a26
SLC25A27	Slc25a27
SLC25A28	Slc25a28
SLC25A29	Slc25a29
SLC25A3	Slc25a3
SLC25A30	Slc25a30
SLC25A31	Slc25a31
SLC25A32	Slc25a32
SLC25A33	Slc25a33
SLC25A34	Slc25a34
SLC25A35	Slc25a35
SLC25A36	Slc25a36
SLC25A37	Slc25a37
SLC25A38	Slc25a38
SLC25A39	Slc25a39
SLC25A4	Slc25a4
SLC25A40	Slc25a40
SLC25A41	Slc25a41
SLC25A42	Slc25a42
SLC25A43	Slc25a43
SLC25A44	Slc25a44
SLC25A45	Slc25a45
SLC25A46	Slc25a46
SLC25A47	Slc25a47
SLC25A48	Slc25a48
SLC25A5	Slc25a5
SLC25A51	Slc25a51
SLC25A53	Slc25a53
SLC26A1	Slc26a1
SLC26A10	Slc26a10
SLC26A11	Slc26a11
SLC26A2	Slc26a2
SLC26A3	Slc26a3
SLC26A4	Slc26a4
SLC26A5	Slc26a5
SLC26A6	Slc26a6
SLC26A7	Slc26a7
SLC26A8	Slc26a8
SLC26A9	Slc26a9
SLC27A1	Slc27a1
SLC27A2	Slc27a2
SLC27A3	Slc27a3
SLC27A4	Slc27a4
SLC27A5	Slc27a5
SLC27A6	Slc27a6
SLC28A1	Slc28a1
SLC28A2	Slc28a2
SLC28A3	Slc28a3
SLC29A1	Slc29a1
SLC29A2	Slc29a2
SLC29A3	Slc29a3
SLC29A4	Slc29a4
SLC2A1	Slc2a1
SLC2A10	Slc2a10
SLC2A12	Slc2a12
SLC2A13	Slc2a13
SLC2A2	Slc2a2
SLC2A3	Slc2a3
SLC2A4	Slc2a4
SLC2A5	Slc2a5
SLC2A6	Slc2a6
SLC2A7	Slc2a7
SLC2A8	Slc2a8
SLC2A9	Slc2a9
SLC30A1	Slc30a1
SLC30A10	Slc30a10
SLC30A2	Slc30a2
SLC30A3	Slc30a3
SLC30A4	Slc30a4
SLC30A5	Slc30a5
SLC30A6	Slc30a6
SLC30A7	Slc30a7
SLC30A8	Slc30a8
SLC30A9	Slc30a9
SLC31A1	Slc31a1
SLC31A2	Slc31a2
SLC32A1	Slc32a1
SLC33A1	Slc33a1
SLC34A1	Slc34a1
SLC34A2	Slc34a2
SLC34A3	Slc34a3
SLC35A1	Slc35a1
SLC35A2	Slc35a2
SLC35A3	Slc35a3
SLC35A4	Slc35a4
SLC35A5	Slc35a5
SLC35B1	Slc35b1
SLC35B2	Slc35b2
SLC35B3	Slc35b3
SLC35B4	Slc35b4
SLC35C1	Slc35c1
SLC35C2	Slc35c2
SLC35D1	Slc35d1
SLC35D2	Slc35d2
SLC35D3	Slc35d3
SLC35E1	Slc35e1
SLC35E2B	Slc35e2
SLC35E3	Slc35e3
SLC35E4	Slc35e4
SLC35F1	Slc35f1
SLC35F2	Slc35f2
SLC35F3	Slc35f3
SLC35F4	Slc35f4
SLC35F5	Slc35f5
SLC35F6	Slc35f6
SLC35G1	Slc35g1
SLC35G2	Slc35g2
SLC35G3	Slc35g3
SLC36A1	Slc36a1
SLC36A2	Slc36a2
SLC36A3	Slc36a3
SLC36A4	Slc36a4
SLC37A1	Slc37a1
SLC37A2	Slc37a2
SLC37A3	Slc37a3
SLC37A4	Slc37a4
SLC38A1	Slc38a1
SLC38A10	Slc38a10
SLC38A11	Slc38a11
SLC38A2	Slc38a2
SLC38A4	Slc38a4
SLC38A5	Slc38a5
SLC38A6	Slc38a6
SLC38A7	Slc38a7
SLC38A8	Slc38a8
SLC38A9	Slc38a9
SLC39A1	Slc39a1
SLC39A10	Slc39a10
SLC39A11	Slc39a11
SLC39A12	Slc39a12
SLC39A13	Slc39a13
SLC39A14	Slc39a14
SLC39A2	Slc39a2
SLC39A3	Slc39a3
SLC39A4	Slc39a4
SLC39A5	Slc39a5
SLC39A6	Slc39a6
SLC39A7	Slc39a7
SLC39A8	Slc39a8
SLC39A9	Slc39a9
SLC3A1	Slc3a1
SLC3A2	Slc3a2
SLC40A1	Slc40a1
SLC41A1	Slc41a1
SLC41A2	Slc41a2
SLC41A3	Slc41a3
SLC43A1	Slc43a1
SLC43A2	Slc43a2
SLC43A3	Slc43a3
SLC44A1	Slc44a1
SLC44A2	Slc44a2
SLC44A3	Slc44a3
SLC44A4	Slc44a4
SLC44A5	Slc44a5
SLC45A1	Slc45a1
SLC45A2	Slc45a2
SLC45A3	Slc45a3
SLC45A4	Slc45a4
SLC46A1	Slc46a1
SLC46A2	Slc46a2
SLC46A3	Slc46a3
SLC47A1	Slc47a1
SLC47A1	Slc47a2
SLC47A2	Slc47a1
SLC47A2	Slc47a2
SLC48A1	Slc48a1
SLC4A1	Slc4a1
SLC4A10	Slc4a10
SLC4A11	Slc4a11
SLC4A1AP	Slc4a1ap
SLC4A2	Slc4a2
SLC4A3	Slc4a3
SLC4A4	Slc4a4
SLC4A5	Slc4a5
SLC4A7	Slc4a7
SLC4A8	Slc4a8
SLC4A9	Slc4a9
SLC50A1	Slc50a1
SLC51A	Slc51a
SLC51B	Slc51b
SLC52A2	Slc52a2
SLC52A3	Slc52a3
SLC5A1	Slc5a1
SLC5A10	Slc5a10
SLC5A11	Slc5a11
SLC5A12	Slc5a12
SLC5A2	Slc5a2
SLC5A3	Slc5a3
SLC5A4	Slc5a4a
SLC5A5	Slc5a5
SLC5A6	Slc5a6
SLC5A7	Slc5a7
SLC5A8	Slc5a8
SLC5A9	Slc5a9
SLC6A1	Slc6a1
SLC6A11	Slc6a11
SLC6A12	Slc6a12
SLC6A13	Slc6a13
SLC6A14	Slc6a14
SLC6A15	Slc6a15
SLC6A16	Slc6a16
SLC6A17	Slc6a17
SLC6A18	Slc6a18
SLC6A19	Slc6a19
SLC6A2	Slc6a2
SLC6A20	Slc6a20a
SLC6A20	Slc6a20b
SLC6A3	Slc6a3
SLC6A4	Slc6a4
SLC6A5	Slc6a5
SLC6A6	Slc6a6
SLC6A7	Slc6a7
SLC6A8	Slc6a8
SLC6A9	Slc6a9
SLC7A1	Slc7a1
SLC7A10	Slc7a10
SLC7A11	Slc7a11
SLC7A13	Slc7a13
SLC7A14	Slc7a14
SLC7A2	Slc7a2
SLC7A3	Slc7a3
SLC7A4	Slc7a4
SLC7A5	Slc7a5
SLC7A6	Slc7a6
SLC7A6OS	Slc7a6os
SLC7A7	Slc7a7
SLC7A8	Slc7a8
SLC7A9	Slc7a9
SLC8A1	Slc8a1
SLC8A2	Slc8a2
SLC8A3	Slc8a3
SLC8B1	Slc8b1
SLC9A1	Slc9a1
SLC9A2	Slc9a2
SLC9A3	Slc9a3
SLC9A3R1	Slc9a3r1
SLC9A3R2	Slc9a3r2
SLC9A4	Slc9a4
SLC9A5	Slc9a5
SLC9A6	Slc9a6
SLC9A7	Slc9a7
SLC9A8	Slc9a8
SLC9A9	Slc9a9
SLC9B1	Slc9b1
SLC9B2	Slc9b2
SLC9C1	Slc9c1
SLCO1A2	Gm5724
SLCO1A2	Gm6614
SLCO1A2	Slco1a1
SLCO1A2	Slco1a4
SLCO1A2	Slco1a5
SLCO1A2	Slco1a6
SLCO1B1	Slco1b2
SLCO1B3	Slco1b2
SLCO1B7	Slco1b2
SLCO1C1	Slco1c1
SLCO2A1	Slco2a1
SLCO2B1	Slco2b1
SLCO3A1	Slco3a1
SLCO4A1	Slco4a1
SLCO4C1	Slco4c1
SLCO5A1	Slco5a1
SLCO6A1	Slco6c1
SLCO6A1	Slco6d1
SLFN12L	Slfn3
SLFN12L	Slfn4
SLFN13	Slfn8
SLFN13	Slfn9
SLFN14	Slfn14
SLFN5	Slfn5
SLFNL1	Slfnl1
SLIRP	Slirp
SLIT1	Slit1
SLIT2	Slit2
SLIT3	Slit3
SLITRK1	Slitrk1
SLITRK2	Slitrk2
SLITRK3	Slitrk3
SLITRK4	Slitrk4
SLITRK5	Slitrk5
SLITRK6	Slitrk6
SLK	Slk
SLMAP	Slmap
SLN	Sln
SLPI	Slpi
SLTM	Sltm
SLU7	Slu7
SLURP1	Slurp1
SLX1A	Slx1b
SLX1B	Slx1b
SLX4	Slx4
SLX4IP	Slx4ip
SMAD1	Smad1
SMAD2	Smad2
SMAD3	Smad3
SMAD4	Smad4
SMAD5	Smad5
SMAD6	Smad6
SMAD7	Smad7
SMAD9	Smad9
SMAGP	Smagp
SMAP1	Smap1
SMAP2	Smap2
SMARCA1	Smarca1
SMARCA2	Smarca2
SMARCA4	Smarca4
SMARCA5	Smarca5
SMARCAD1	Smarcad1
SMARCAL1	Smarcal1
SMARCB1	Smarcb1
SMARCC1	Smarcc1
SMARCC2	Smarcc2
SMARCD1	Smarcd1
SMARCD2	Smarcd2
SMARCD3	Smarcd3
SMARCE1	Smarce1
SMC1A	Smc1a
SMC1B	Smc1b
SMC2	Smc2
SMC3	Smc3
SMC4	Smc4
SMC5	Smc5
SMC6	Smc6
SMCHD1	Smchd1
SMCO1	Smco1
SMCO2	Smco2
SMCO3	Smco3
SMCO4	Smco4
SMCP	Smcp
SMCR8	Smcr8
SMDT1	Smdt1
SMG1	Smg1
SMG5	Smg5
SMG6	Smg6
SMG7	Smg7
SMG8	Smg8
SMG9	Smg9
SMIM1	Smim1
SMIM12	Smim12
SMIM13	Smim13
SMIM14	Smim14
SMIM15	Smim15
SMIM17	Smim17
SMIM18	Smim18
SMIM19	Smim19
SMIM20	Smim20
SMIM22	Smim22
SMIM23	Smim23
SMIM3	Smim3
SMIM4	Smim4
SMIM5	Smim5
SMIM6	Smim6
SMIM7	Smim7
SMIM8	Smim8
SMIM9	Smim9
SMLR1	Smlr1
SMN1	Smn1
SMN2	Smn1
SMNDC1	Smndc1
SMO	Smo
SMOC1	Smoc1
SMOC2	Smoc2
SMOX	Smox
SMPD1	Smpd1
SMPD2	Smpd2
SMPD3	Smpd3
SMPD4	Smpd4
SMPDL3A	Smpdl3a
SMPDL3B	Smpdl3b
SMPX	Smpx
SMR3A	Smr3a
SMS	Sms
SMTN	Smtn
SMTNL1	Smtnl1
SMTNL2	Smtnl2
SMU1	Smu1
SMUG1	Smug1
SMURF1	Smurf1
SMURF2	Smurf2
SMYD1	Smyd1
SMYD2	Smyd2
SMYD3	Smyd3
SMYD4	Smyd4
SMYD5	Smyd5
SNAI1	Snai1
SNAI2	Snai2
SNAI3	Snai3
SNAP23	Snap23
SNAP25	Snap25
SNAP29	Snap29
SNAP47	Snap47
SNAP91	Snap91
SNAPC1	Snapc1
SNAPC2	Snapc2
SNAPC3	Snapc3
SNAPC4	Snapc4
SNAPC5	Snapc5
SNAPIN	Snapin
SNCA	Snca
SNCAIP	Sncaip
SNCB	Sncb
SNCG	Sncg
SND1	Snd1
SNED1	Sned1
SNF8	Snf8
SNHG10	Snhg10
SNHG18	Snhg18
SNHG9	Snhg9
SNIP1	Snip1
SNN	Snn
SNPH	Snph
SNRK	Snrk
SNRNP200	Snrnp200
SNRNP25	Snrnp25
SNRNP27	Snrnp27
SNRNP35	Snrnp35
SNRNP40	Snrnp40
SNRNP48	Snrnp48
SNRNP70	Snrnp70
SNRPA	Snrpa
SNRPA1	Snrpa1
SNRPB	Snrpb
SNRPB2	Snrpb2
SNRPC	Snrpc
SNRPD1	Snrpd1
SNRPD2	Snrpd2
SNRPD3	Snrpd3
SNRPE	Snrpe
SNRPF	Snrpf
SNRPG	Snrpg
SNRPN	Snrpn
SNTA1	Snta1
SNTB1	Sntb1
SNTB2	Sntb2
SNTG1	Sntg1
SNTG2	Sntg2
SNTN	Sntn
SNUPN	Snupn
SNURF	Snurf
SNW1	Snw1
SNX1	Snx1
SNX10	Snx10
SNX11	Snx11
SNX12	Snx12
SNX13	Snx13
SNX14	Snx14
SNX15	Snx15
SNX16	Snx16
SNX17	Snx17
SNX18	Snx18
SNX19	Snx19
SNX2	Snx2
SNX20	Snx20
SNX21	Snx21
SNX22	Snx22
SNX24	Snx24
SNX25	Snx25
SNX27	Snx27
SNX29	Snx29
SNX3	Snx3
SNX30	Snx30
SNX31	Snx31
SNX32	Snx32
SNX33	Snx33
SNX4	Snx4
SNX5	Snx5
SNX6	Snx6
SNX7	Snx7
SNX8	Snx8
SNX9	Snx9
SOAT1	Soat1
SOAT2	Soat2
SOBP	Sobp
SOCS1	Socs1
SOCS2	Socs2
SOCS3	Socs3
SOCS4	Socs4
SOCS5	Socs5
SOCS6	Socs6
SOCS7	Socs7
SOD1	Sod1
SOD2	Sod2
SOD3	Sod3
SOGA1	Soga1
SOGA3	Soga3
SOHLH1	Sohlh1
SOHLH2	Sohlh2
SON	Son
SORBS1	Sorbs1
SORBS2	Sorbs2
SORBS3	Sorbs3
SORCS1	Sorcs1
SORCS2	Sorcs2
SORCS3	Sorcs3
SORD	Sord
SORL1	Sorl1
SORT1	Sort1
SOS1	Sos1
SOS2	Sos2
SOST	Sost
SOSTDC1	Sostdc1
SOWAHA	Sowaha
SOWAHB	Sowahb
SOWAHC	Sowahc
SOWAHD	Sowahd
SOX1	Sox1
SOX10	Sox10
SOX11	Sox11
SOX12	Sox12
SOX13	Sox13
SOX14	Sox14
SOX15	Sox15
SOX17	Sox17
SOX18	Sox18
SOX2	Sox2
SOX21	Sox21
SOX21-AS1	Gm4675
SOX3	Sox3
SOX30	Sox30
SOX4	Sox4
SOX5	Sox5
SOX6	Sox6
SOX7	Sox7
SOX8	Sox8
SOX9	Sox9
SP1	Sp1
SP100	Sp100
SP110	Sp110
SP140	Sp140
SP140L	Sp140
SP2	Sp2
SP3	Sp3
SP4	Sp4
SP5	Sp5
SP6	Sp6
SP7	Sp7
SP8	Sp8
SP9	Sp9
SPA17	Spa17
SPACA1	Spaca1
SPACA3	Spaca3
SPACA4	Spaca4
SPACA5	Spaca5
SPACA5B	Spaca5
SPACA7	Spaca7
SPAG1	Spag1
SPAG11B	Spag11b
SPAG16	Spag16
SPAG17	Spag17
SPAG4	Spag4
SPAG5	Spag5
SPAG6	Spag6
SPAG7	Spag7
SPAG8	Spag8
SPAG9	Spag9
SPAM1	Hyal5
SPARC	Sparc
SPARCL1	Sparcl1
SPAST	Spast
SPATA13	Spata13
SPATA16	Spata16
SPATA17	Spata17
SPATA18	Spata18
SPATA19	Spata19
SPATA2	Spata2
SPATA20	Spata20
SPATA21	Spata21
SPATA22	Spata22
SPATA24	Spata24
SPATA25	Spata25
SPATA2L	Spata2l
SPATA3	Spata3
SPATA31A1	Spata31
SPATA31A3	Spata31
SPATA31A5	Spata31
SPATA31A6	Spata31
SPATA31A7	Spata31
SPATA31D1	1700014D04Rik
SPATA31D1	Spata31d1a
SPATA31D1	Spata31d1b
SPATA31D1	Spata31d1d
SPATA32	Spata32
SPATA33	Spata33
SPATA4	Spata4
SPATA5	Spata5
SPATA6	Spata6
SPATA6L	4430402I18Rik
SPATA7	Spata7
SPATA9	Spata9
SPATC1	Spatc1
SPATC1L	Spatc1l
SPATS1	Spats1
SPATS2	Spats2
SPATS2L	Spats2l
SPC24	Spc24
SPC25	Spc25
SPCS1	Spcs1
SPCS2	Spcs2
SPCS3	Spcs3
SPDEF	Spdef
SPDL1	Spdl1
SPDYA	Spdya
SPECC1	Specc1
SPECC1L	Specc1l
SPEF1	Spef1
SPEF2	Spef2
SPEG	Speg
SPEM1	Spem1
SPEN	Spen
SPESP1	Spesp1
SPG11	Spg11
SPG21	Spg21
SPG7	Spg7
SPHK1	Sphk1
SPHK2	Sphk2
SPHKAP	Sphkap
SPI1	Spi1
SPIB	Spib
SPIC	Spic
SPICE1	Spice1
SPIDR	Spidr
SPIN1	Spin1
SPIN2A	Gm21637
SPIN2A	Gm5926
SPIN2A	Spin2d
SPIN2A	Spin2e
SPIN2B	Gm21637
SPIN2B	Gm5926
SPIN2B	Spin2d
SPIN2B	Spin2e
SPIN4	Spin4
SPINK1	Spink1
SPINK13	Spink13
SPINK14	Spink14
SPINK2	Spink2
SPINK4	Spink4
SPINK5	Spink5
SPINK6	Spink6
SPINK7	Spink7
SPINK8	Spink8
SPINT1	Spint1
SPINT2	Spint2
SPINT3	Spint3
SPINT4	Spint4
SPIRE1	Spire1
SPIRE2	Spire2
SPN	Spn
SPNS1	Spns1
SPNS2	Spns2
SPNS3	Spns3
SPO11	Spo11
SPOCD1	Spocd1
SPOCK1	Spock1
SPOCK2	Spock2
SPOCK3	Spock3
SPON2	Spon2
SPOP	Spop
SPOPL	Spopl
SPP1	Spp1
SPP2	Spp2
SPPL2A	Sppl2a
SPPL2C	Sppl2c
SPPL3	Sppl3
SPR	Spr
SPRED1	Spred1
SPRED2	Spred2
SPRED3	Spred3
SPRN	Sprn
SPRR1A	Sprr1a
SPRR1B	Sprr1b
SPRR3	Sprr3
SPRR4	Sprr4
SPRTN	Sprtn
SPRY1	Spry1
SPRY2	Spry2
SPRY3	Spry3
SPRY4	Spry4
SPRYD3	Spryd3
SPRYD4	Spryd4
SPRYD7	Spryd7
SPSB1	Spsb1
SPSB2	Spsb2
SPSB3	Spsb3
SPSB4	Spsb4
SPTA1	Spta1
SPTAN1	Sptan1
SPTB	Sptb
SPTBN1	Sptbn1
SPTBN2	Sptbn2
SPTBN4	Sptbn4
SPTLC1	Sptlc1
SPTLC2	Sptlc2
SPTLC3	Sptlc3
SPTSSA	Sptssa
SPTSSB	Sptssb
SPTY2D1	Spty2d1
SPZ1	Spz1
SQLE	Sqle
SQSTM1	Sqstm1
SRA1	Sra1
SRBD1	Srbd1
SRC	Src
SRCAP	Srcap
SRCIN1	Srcin1
SRD5A1	Srd5a1
SRD5A3	Srd5a3
SREBF1	Srebf1
SREBF2	Srebf2
SREK1	Srek1
SREK1IP1	Srek1ip1
SRF	Srf
SRFBP1	Srfbp1
SRGAP1	Srgap1
SRGAP2	Srgap2
SRGAP3	Srgap3
SRGN	Srgn
SRI	Sri
SRL	Srl
SRM	Srm
SRMS	Srms
SRP14	Srp14
SRP19	Srp19
SRP54	Srp54a
SRP54	Srp54b
SRP54	Srp54c
SRP68	Srp68
SRP72	Srp72
SRP9	Srp9
SRPK1	Srpk1
SRPK2	Srpk2
SRPK3	Srpk3
SRPRB	Srprb
SRPX	Srpx
SRPX2	Srpx2
SRR	Srr
SRRD	Srrd
SRRM1	Srrm1
SRRM2	Srrm2
SRRM3	Srrm3
SRRM4	Srrm4
SRRT	Srrt
SRSF1	Srsf1
SRSF10	Srsf10
SRSF11	Srsf11
SRSF12	Srsf12
SRSF2	Srsf2
SRSF3	Srsf3
SRSF4	Srsf4
SRSF5	Srsf5
SRSF6	Srsf6
SRSF7	Srsf7
SRSF9	Srsf9
SRXN1	Srxn1
SRY	Sry
SS18	Ss18
SS18L1	Ss18l1
SS18L2	Ss18l2
SSB	Ssb
SSBP1	Ssbp1
SSBP2	Ssbp2
SSBP3	Ssbp3
SSBP4	Ssbp4
SSC5D	Ssc5d
SSH1	Ssh1
SSH2	Ssh2
SSH3	Ssh3
SSMEM1	Ssmem1
SSNA1	Ssna1
SSPN	Sspn
SSR1	Ssr1
SSR2	Ssr2
SSR3	Ssr3
SSR4	Ssr4
SSRP1	Ssrp1
SST	Sst
SSTR1	Sstr1
SSTR2	Sstr2
SSTR3	Sstr3
SSTR4	Sstr4
SSTR5	Sstr5
SSU72	Ssu72
SSUH2	Ssu2
SSX2IP	Ssx2ip
SSX4	Ssxb2
SSX4B	Ssxb2
ST13	St13
ST14	St14
ST18	St18
ST3GAL1	St3gal1
ST3GAL2	St3gal2
ST3GAL3	St3gal3
ST3GAL4	St3gal4
ST3GAL5	St3gal5
ST3GAL6	St3gal6
ST6GAL1	St6gal1
ST6GAL2	St6gal2
ST6GALNAC1	St6galnac1
ST6GALNAC2	St6galnac2
ST6GALNAC3	St6galnac3
ST6GALNAC4	St6galnac4
ST6GALNAC5	St6galnac5
ST6GALNAC6	St6galnac6
ST7	St7
ST7L	St7l
ST8SIA1	St8sia1
ST8SIA2	St8sia2
ST8SIA3	St8sia3
ST8SIA4	St8sia4
ST8SIA5	St8sia5
ST8SIA6	St8sia6
STAB1	Stab1
STAB2	Stab2
STAC	Stac
STAC2	Stac2
STAC3	Stac3
STAG1	Stag1
STAG2	Stag2
STAG3	Stag3
STAM	Stam
STAM2	Stam2
STAMBP	Stambp
STAMBPL1	Stambpl1
STAP1	Stap1
STAP2	Stap2
STAR	Star
STARD10	Stard10
STARD13	Stard13
STARD3	Stard3
STARD3NL	Stard3nl
STARD4	Stard4
STARD5	Stard5
STARD6	Stard6
STARD7	Stard7
STARD8	Stard8
STARD9	Stard9
STAT1	Stat1
STAT2	Stat2
STAT3	Stat3
STAT4	Stat4
STAT5A	Stat5a
STAT5B	Stat5b
STAT6	Stat6
STAU1	Stau1
STAU2	Stau2
STC1	Stc1
STC2	Stc2
STEAP1	Steap1
STEAP2	Steap2
STEAP3	Steap3
STEAP4	Steap4
STIL	Stil
STIM1	Stim1
STIM2	Stim2
STIP1	Stip1
STK10	Stk10
STK11	Stk11
STK11IP	Stk11ip
STK16	Stk16
STK17B	Stk17b
STK19	Stk19
STK24	Stk24
STK25	Stk25
STK3	Stk3
STK31	Stk31
STK32A	Stk32a
STK32B	Stk32b
STK32C	Stk32c
STK33	Stk33
STK35	Stk35
STK36	Stk36
STK38	Stk38
STK38L	Stk38l
STK39	Stk39
STK4	Stk4
STK40	Stk40
STMN1	Stmn1
STMN2	Stmn2
STMN3	Stmn3
STMN4	Stmn4
STMND1	Stmnd1
STOM	Stom
STOML1	Stoml1
STOML2	Stoml2
STOML3	Stoml3
STON1	Ston1
STON2	Ston2
STOX1	Stox1
STOX2	Stox2
STPG1	Stpg1
STPG2	Stpg2
STRA6	Stra6
STRA8	Stra8
STRADA	Strada
STRADB	Stradb
STRAP	Strap
STRBP	Strbp
STRC	Strc
STRIP1	Strip1
STRIP2	Strip2
STRN	Strn
STRN3	Strn3
STRN4	Strn4
STT3A	Stt3a
STT3B	Stt3b
STUB1	Stub1
STX11	Stx11
STX12	Stx12
STX16	Stx16
STX17	Stx17
STX18	Stx18
STX19	Stx19
STX1A	Stx1a
STX1B	Stx1b
STX2	Stx2
STX3	Stx3
STX4	Stx4a
STX5	Stx5a
STX6	Stx6
STX7	Stx7
STX8	Stx8
STXBP1	Stxbp1
STXBP2	Stxbp2
STXBP3	Stxbp3
STXBP4	Stxbp4
STXBP5	Stxbp5
STXBP5L	Stxbp5l
STXBP6	Stxbp6
STYK1	Styk1
STYX	Styx
STYXL1	Styxl1
SUB1	Sub1
SUCLA2	Sucla2
SUCLG1	Suclg1
SUCLG2	Suclg2
SUCNR1	Sucnr1
SUCO	Suco
SUDS3	Suds3
SUFU	Sufu
SUGCT	Sugct
SUGP1	Sugp1
SUGP2	Sugp2
SUGT1	Sugt1
SULF1	Sulf1
SULF2	Sulf2
SULT1A1	Sult1a1
SULT1B1	Sult1b1
SULT1C2	Sult1c2
SULT1C3	Sult1c1
SULT1C4	Sult1c1
SULT1E1	Sult1e1
SULT2A1	Sult2a1
SULT2A1	Sult2a3
SULT2A1	Sult2a4
SULT2A1	Sult2a5
SULT2A1	Sult2a6
SULT2B1	Sult2b1
SULT4A1	Sult4a1
SULT6B1	Sult6b1
SUMF1	Sumf1
SUMF2	Sumf2
SUMO1	Sumo1
SUMO2	Sumo2
SUMO3	Sumo3
SUN1	Sun1
SUN2	Sun2
SUN3	Sun3
SUN5	Sun5
SUOX	Suox
